id_1,Y18_1,Y18
4752,20.750698,20.627783
4753,20.42318,20.499811
4754,20.280003,20.316093
4755,20.199257,20.223997
4756,19.972198,19.966562
4757,19.858232,19.99161
4758,19.770935,19.90676
4759,19.754404,19.94855
4760,19.644743,19.96552
4761,19.583303,19.906744
4762,19.480383,19.758736
4763,19.419512,19.68697
4764,19.459122,19.637936
4765,19.459549,19.651384
4766,19.41408,19.662788
4767,19.343191,19.619362
4768,19.197214,19.505386
4769,19.093918,19.573383
4770,19.05958,19.560438
4771,18.9885,19.51528
4772,18.912836,19.429754
4773,18.84956,19.367388
4774,18.848272,19.33749
4775,18.834085,19.276596
4776,18.946642,19.201715
4777,18.899794,19.137978
4778,18.799671,19.0685
4779,18.784548,18.98459
4780,18.676073,18.97308
4781,18.674864,19.027683
4782,18.71041,19.032484
4783,18.712244,19.096897
4784,18.707644,19.087267
4785,18.699886,19.050123
4786,18.782776,19.109858
4787,18.83006,19.19646
4788,18.948547,19.2385
4789,19.19391,19.448225
4790,19.435316,19.71021
4791,19.753006,20.01861
4792,20.22589,20.368135
4793,20.62281,20.846058
4794,21.180092,21.395573
4795,21.811737,22.172312
4796,22.404476,22.84886
4797,23.307169,23.457035
4798,24.414612,24.272858
4799,25.221779,25.206339
4800,26.126078,26.094015
4801,27.109976,26.942818
4802,28.099043,27.77946
4803,29.011778,28.589365
4804,29.925896,29.475815
4805,30.72571,30.450783
4806,31.72857,31.38802
4807,32.698536,32.149128
4808,33.11036,32.864754
4809,33.623264,33.626812
4810,34.203724,34.31108
4811,34.57798,35.149143
4812,35.03761,35.827732
4813,35.42181,36.58643
4814,36.00874,37.27232
4815,36.25342,37.82963
4816,36.64507,38.411354
4817,37.251278,38.964893
4818,37.708317,39.495903
4819,38.25459,39.87786
4820,38.609875,40.2797
4821,38.799152,40.55814
4822,39.183212,40.753635
4823,39.53352,40.907738
4824,39.56634,41.01964
4825,39.90321,41.09221
4826,39.844105,41.04082
4827,40.098476,41.013317
4828,39.96919,40.75318
4829,39.62882,40.579327
4830,40.18091,40.70362
4831,40.323074,40.689865
4832,40.2583,40.536213
4833,40.352493,40.248474
4834,40.647526,40.32574
4835,40.08313,39.679817
4836,39.76384,39.32887
4837,39.09865,38.581657
4838,37.336586,37.636276
4839,37.157684,37.471825
4840,36.211754,37.158504
4841,35.970947,36.625484
4842,36.383892,37.365505
4843,35.48717,37.015755
4844,35.002285,36.494694
4845,34.72581,36.07662
