id,Y18
4752,19.240456
4753,19.191086
4754,19.085354
4755,19.136368
4756,19.133553
4757,19.1091
4758,19.088737
4759,19.167767
4760,19.12572
4761,19.022846
4762,18.846333
4763,18.772753
4764,18.781738
4765,18.812191
4766,18.763042
4767,18.685978
4768,18.561523
4769,18.513767
4770,18.481417
4771,18.507599
4772,18.528076
4773,18.508148
4774,18.490929
4775,18.485611
4776,18.577192
4777,18.535397
4778,18.468365
4779,18.413157
4780,18.291561
4781,18.261055
4782,18.228207
4783,18.187723
4784,18.136997
4785,18.07816
4786,18.049986
4787,18.045246
4788,18.166904
4789,18.3647
4790,18.594582
4791,18.88113
4792,19.256033
4793,19.675032
4794,20.22306
4795,20.92984
4796,21.53401
4797,22.455395
4798,23.61762
4799,24.606667
4800,25.665894
4801,26.818047
4802,27.710392
4803,28.649513
4804,29.433336
4805,30.200891
4806,30.986137
4807,31.550554
4808,32.020657
4809,32.644478
4810,33.007698
4811,33.363976
4812,33.751976
4813,34.13137
4814,34.239044
4815,34.25431
4816,34.41815
4817,34.474403
4818,34.77056
4819,34.880165
4820,35.123795
4821,35.402214
4822,35.25433
4823,35.594578
4824,35.95053
4825,36.042023
4826,36.248596
4827,36.39598
4828,36.503883
4829,36.54543
4830,36.48656
4831,36.827827
4832,36.905647
4833,37.230495
4834,37.111107
4835,36.801483
4836,36.26034
4837,35.586704
4838,35.249924
4839,35.498615
4840,35.88028
4841,35.841698
4842,35.869656
4843,35.804443
4844,35.46031
4845,35.07127
4846,35.003593
4847,34.24
4848,33.91712
4849,33.99592
4850,33.26277
4851,32.916275
4852,32.459858
4853,31.929087
4854,32.144363
4855,31.86684
4856,31.614977
4857,31.363102
4858,31.481354
4859,31.378574
4860,30.996393
4861,30.352127
4862,29.796272
4863,29.494473
4864,29.179346
4865,28.743618
4866,28.421146
4867,28.038149
4868,27.647614
4869,27.037727
4870,26.308441
4871,25.581097
4872,24.93717
4873,24.424646
4874,23.983469
4875,23.78001
4876,23.467787
4877,23.25491
4878,23.296165
4879,23.07859
4880,22.885895
4881,22.55832
4882,22.272623
4883,22.068802
4884,21.937336
4885,21.576794
4886,21.330639
4887,21.130512
4888,21.038305
4889,20.866982
4890,20.78895
4891,20.506979
4892,20.399065
4893,20.208807
4894,19.82188
4895,19.686209
4896,19.553057
